,DM1,DM2,DM4,DM8,SA1,SA2,SA4,SA8,reconf
500,0.558,0.626,0.626,0.41,0.486,0.556,0.53,0.342,0.412
1000,0.388,0.429,0.429,0.306,0.352,0.394,0.378,0.269,0.307
1500,0.3146666667,0.342,0.342,0.26,0.29,0.318,0.3073333333,0.2346666667,0.2606666667
2000,0.2785,0.299,0.299,0.2375,0.2595,0.2805,0.2725,0.218,0.238
2500,0.3436,0.3612,0.3592,0.2684,0.3248,0.3432,0.3144,0.2368,0.2688
