,DM1,DM2,DM4,DM8,SA1,SA2,SA4,SA8,reconf
500,0.398,0.488,0.488,0.354,0.31,0.402,0.394,0.288,0.356
1000,0.541,0.601,0.601,0.406,0.481,0.547,0.505,0.333,0.407
1500,0.522,0.568,0.568,0.392,0.4793333333,0.5313333333,0.4813333333,0.3266666667,0.3926666667
2000,0.5085,0.551,0.5505,0.379,0.474,0.5225,0.4685,0.3185,0.3795
2500,0.504,0.5448,0.5436,0.374,0.4712,0.52,0.4636,0.3152,0.3744
3000,0.478,0.513,0.512,0.3566666667,0.4533333333,0.4953333333,0.4416666667,0.3036666667,0.357
